category_id,type,question_text,question_text_sv
712719f6-df43-4ce9-ab98-c505f3635399,dare,"Send the last photo in your camera roll to the group.","Skicka den sista bilden i ditt kamerarulle till gruppen."
712719f6-df43-4ce9-ab98-c505f3635399,dare,"Swap phones with someone for 1 minute.","Byt telefon med någon i 1 minut."
712719f6-df43-4ce9-ab98-c505f3635399,dare,"Let someone post an emoji on your social media.","Låt någon lägga upp en emoji på dina sociala medier."
712719f6-df43-4ce9-ab98-c505f3635399,dare,"Spin around 10 times and walk straight.","Snurra runt 10 gånger och gå rakt fram."
712719f6-df43-4ce9-ab98-c505f3653399,dare,"Let someone choose a word you must say every time you speak for one round.","Låt någon välja ett ord du måste säga varje gång du pratar i en runda."
712719f6-df43-4ce9-ab98-c505f3653399,dare,"Pretend the floor is lava for 15 seconds.","Låtsas att golvet är lava i 15 sekunder."
712719f6-df43-4ce9-ab98-c505f3653399,dare,"Talk like a movie trailer narrator for one turn.","Prata som en filmtrailerberättare i en tur."
712719f6-df43-4ce9-ab98-c505f3653399,dare,"Let the group pose you like a mannequin.","Låt gruppen posera dig som en skyltdocka."
712719f6-df43-4ce9-ab98-c505f3653399,dare,"Switch seats with someone using the weirdest walk possible.","Byt plats med någon med den konstigaste gången möjlig."
712719f6-df43-4ce9-ab98-c505f3653399,dare,"Make dramatic eye contact with someone for 10 seconds.","Ha dramatisk ögonkontakt med någon i 10 sekunder."
712719f6-df43-4ce9-ab98-c505f3653399,dare,"Say your next answer in slow motion.","Säg ditt nästa svar i slow motion."
712719f6-df43-4ce9-ab98-c505f3653399,dare,"Pretend you are a superhero discovering your powers.","Låtsas att du är en superhjälte som upptäcker dina krafter."
712719f6-df43-4ce9-ab98-c505f3653399,dare,"Narrate everything you do for the next 20 seconds.","Berätta allt du gör under de nästa 20 sekunderna."
712719f6-df43-4ce9-ab98-c505f3653399,dare,"Let the group give you a dramatic nickname.","Låt gruppen ge dig ett dramatiskt smeknamn."
683b7b82-f39b-45d9-bb03-2ec26c8eb310,truth,"What is the funniest thing that has ever happened to you at school or work?","Vad är det roligaste som någonsin har hänt dig i skolan eller på jobbet?"
683b7b82-f39b-45d9-bb03-2ec26c8eb310,truth,"What is a trend you tried that you now regret?","Vilken trend provade du som du nu ångrar?"
683b7b82-f39b-45d9-bb03-2ec26c8eb310,truth,"What is the funniest nickname you have ever had?","Vad är det roligaste smeknamnet du någonsin haft?"
683b7b82-f39b-45d9-bb03-2ec26c8eb310,truth,"Have you ever laughed so hard you cried?","Har du någonsin skrattat så hårt att du grät?"
683b7b82-f39b-45d9-bb03-2ec26c8eb310,truth,"What is your most useless talent?","Vad är din mest onödiga talang?"
683b7b82-f39b-45d9-bb03-2ec26c8eb310,dare,"Act like a robot trying to be human for 20 seconds.","Uppträd som en robot som försöker vara mänsklig i 20 sekunder."
683b7b82-f39b-45d9-bb03-2ec26c8eb310,dare,"Sing the chorus of a song using only 'la la la'.","Sjung refrängen till en låt med bara 'la la la'."
683b7b82-f39b-45d9-bb03-2ec26c8eb310,dare,"Pretend you are a news reporter describing the room.","Låtsas att du är en nyhetsreporter som beskriver rummet."
683b7b82-f39b-45d9-bb03-2ec26c8eb310,dare,"Walk like a penguin until your next turn.","Gå som en pingvin tills din nästa tur."
683b7b82-f39b-45d9-bb03-2ec26c8eb310,dare,"Make up a random commercial and act it out.","Hitta på en slumpmässig reklamfilm och agera ut den."
683b7b82-f39b-45d9-bb03-2ec26c8eb310,truth,"What is the dumbest thing you believed as a kid?","Vad är det dummaste du trodde på som barn?"
683b7b82-f39b-45d9-bb03-2ec26c8eb310,truth,"What is the weirdest thing you have Googled?","Vad är det konstigaste du har googlat?"
683b7b82-f39b-45d9-bb03-2ec26c8eb310,truth,"Have you ever laughed at your own joke?","Har du någonsin skrattat åt ditt eget skämt?"
683b7b82-f39b-45d9-bb03-2ec26c8eb310,truth,"What sound always makes you laugh?","Vilket ljud får dig alltid att skratta?"
683b7b82-f39b-45d9-bb03-2ec26c8eb310,truth,"What is your funniest fail story?","Vad är din roligaste fail-berättelse?"
683b7b82-f39b-45d9-bb03-2ec26c8eb310,truth,"Have you ever tripped in public and tried to act cool?","Har du någonsin snubblat offentligt och försökt verka cool?"
683b7b82-f39b-45d9-bb03-2ec26c8eb310,truth,"What cartoon character are you secretly like?","Vilken tecknad figur är du hemligt lik?"
683b7b82-f39b-45d9-bb03-2ec26c8eb310,truth,"What is your most random fear?","Vad är din mest slumpmässiga rädsla?"
683b7b82-f39b-45d9-bb03-2ec26c8eb310,truth,"What is something you are terrible at but still try anyway?","Vad är något du är hemsk på men ändå försöker?"
683b7b82-f39b-45d9-bb03-2ec26c8eb310,truth,"What is the weirdest nickname you have given someone?","Vad är det konstigaste smeknamnet du har gett någon?"
683b7b82-f39b-45d9-bb03-2ec26c8eb3b1,truth,"What is the most embarrassing thing you've done in public?","Vad är det mest pinsamma du har gjort offentligt?"
683b7b82-f39b-45d9-bb03-2ec26c8eb3b1,truth,"Have you ever laughed at the wrong moment?","Har du någonsin skrattat i fel ögonblick?"
683b7b82-f39b-45d9-bb03-2ec26c8eb3b1,truth,"What is your weirdest habit?","Vad är din konstigaste vana?"
683b7b82-f39b-45d9-bb03-2ec26c8eb3b1,truth,"What is the worst joke you've ever told?","Vad är det sämsta skämtet du någonsin har berättat?"
683b7b82-f39b-45d9-bb03-2ec26c8eb3b1,dare,"Do your best celebrity impression.","Gör ditt bästa kändisimitation."
683b7b82-f39b-45d9-bb03-2ec26c8eb3b1,dare,"Dance with no music for 15 seconds.","Dansa utan musik i 15 sekunder."
683b7b82-f39b-45d9-bb03-2ec26c8eb3b1,dare,"Talk in a silly voice for one round.","Prata med en löjlig röst i en runda."
683b7b82-f39b-45d9-bb03-2ec26c8eb3b1,dare,"Make a funny face and keep it for 20 seconds.","Gör en rolig grimace och behåll den i 20 sekunder."
683b7b82-f39b-45d9-bb03-2ec26c8eb310,dare,"Act like you are walking on ice.","Uppträd som om du går på is."
683b7b82-f39b-45d9-bb03-2ec26c8eb310,dare,"Try to make the group laugh without speaking.","Försök få gruppen att skratta utan att prata."
683b7b82-f39b-45d9-bb03-2ec26c8eb310,dare,"Do your best animal impression.","Gör din bästa djurimitation."
683b7b82-f39b-45d9-bb03-2ec26c8eb310,dare,"Speak like a pirate until your next turn.","Tala som en pirat tills din nästa tur."
683b7b82-f39b-45d9-bb03-2ec26c8eb310,dare,"Pretend you are in slow-motion action scene.","Låtsas att du är i en slow-motion-actionscen."
683b7b82-f39b-45d9-bb03-2ec26c8eb310,dare,"Make up a fake motivational speech.","Hitta på ett falskt motivationsföredrag."
683b7b82-f39b-45d9-bb03-2ec26c8eb310,dare,"Laugh dramatically for 10 seconds.","Skratta dramatiskt i 10 sekunder."
683b7b82-f39b-45d9-bb03-2ec26c8eb310,dare,"Act like a toddler having a meltdown.","Uppträd som en småbarn som får ett utbrott."
683b7b82-f39b-45d9-bb03-2ec26c8eb310,dare,"Pretend you are presenting an award.","Låtsas att du delar ut ett pris."
683b7b82-f39b-45d9-bb03-2ec26c8eb310,dare,"Do a runway walk like a fashion model.","Gå en catwalk som en modell."
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,truth,"What is the sweetest thing someone has ever done for you?","Vad är det sötaste någon någonsin har gjort för dig?"
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,truth,"What is your biggest green flag in a partner?","Vad är din största gröna flagga hos en partner?"
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,truth,"Have you ever had a crush on someone unexpected?","Har du någonsin haft en crush på någon oväntad?"
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,truth,"What is one thing that instantly gives you the ick?","Vad är en sak som direkt ger dig ick?"
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,truth,"Would you rather fall in love fast or slowly?","Vill du hellre bli kär snabbt eller långsamt?"
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,truth,"What is your biggest relationship green flag?","Vad är din största gröna flagga i en relation?"
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,truth,"What is the cutest thing someone has done for you?","Vad är det sötaste någon har gjort för dig?"
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,truth,"What is one thing that instantly makes someone attractive?","Vad är en sak som direkt gör någon attraktiv?"
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,truth,"Have you ever liked someone and never told them?","Har du någonsin gillat någon och aldrig berättat det?"
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,truth,"What is your ideal first date?","Vad är din ideala första dejt?"
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,truth,"What is your biggest dating red flag?","Vad är din största röda flagga vid dejting?"
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,truth,"What fictional character would you date?","Vilken fiktiv karaktär skulle du dejta?"
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,truth,"What is more important looks or personality?","Vad är viktigare utseende eller personlighet?"
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,truth,"What is the most awkward romantic moment you have had?","Vad är det mest pinsamma romantiska ögonblicket du har haft?"
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,truth,"Have you ever had a crush on someone older or younger than you?","Har du någonsin haft en crush på någon äldre eller yngre än dig?"
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,truth,"Have you ever had a crush on a friend's partner?","Har du någonsin haft en crush på en väns partner?"
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,truth,"What is the biggest lie you've told in a relationship?","Vad är den största lögnen du har berättat i en relation?"
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,truth,"Have you ever ghosted someone?","Har du någonsin ghostat någon?"
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,truth,"Who was your first love?","Vem var din första kärlek?"
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,dare,"Text your crush a heart emoji.","Skicka din crush ett hjärta-emoji."
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,dare,"Compliment someone in the room romantically.","Ge någon i rummet en romantisk komplimang."
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,dare,"Hold hands with someone for 30 seconds.","Håll hand med någon i 30 sekunder."
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,dare,"Send a flirty message to a random contact.","Skicka ett flörtigt meddelande till en slumpmässig kontakt."
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,dare,"Say three nice things about yourself like you are on a dating profile.","Säg tre trevliga saker om dig själv som om du är på en dejtingsida."
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,dare,"Describe your dream date using only gestures.","Beskriv din drömdejt med bara gester."
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,dare,"Give someone a wholesome compliment.","Ge någon en genuin komplimang."
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,dare,"Pretend you are in a romantic movie scene.","Låtsas att du är i en romantisk filmscen."
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,dare,"Say your ideal partner type in a dramatic voice.","Säg din idealpartnertyp med dramatiskt röst."
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,dare,"Send a kind message to a friend.","Skicka ett vänligt meddelande till en vän."
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,dare,"Act shy for one full round.","Uppträd blygt i en hel runda."
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,dare,"Describe your dream wedding in 10 seconds.","Beskriv ditt drömbröllop på 10 sekunder."
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,dare,"Pretend you are giving relationship advice to the group.","Låtsas att du ger relationsråd till gruppen."
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,dare,"Pick someone and give them a genuine friendly compliment.","Välj någon och ge dem en genuin vänlig komplimang."
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,dare,"Describe your ideal date in dramatic detail.","Beskriv din idealdejt i dramatiskt detalj."
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,dare,"Give someone in the room a genuine compliment.","Ge någon i rummet en genuin komplimang."
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,dare,"Pretend to propose to an imaginary person.","Låtsas fria till en imaginär person."
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,dare,"Send a wholesome message to someone you appreciate.","Skicka ett varmt meddelande till någon du uppskattar."
0d36a9a7-3976-4c4f-97d1-5c85652cce3d,dare,"Describe your dream partner using only three words.","Beskriv din drömpartner med bara tre ord."
00eaed98-ca52-4dbb-85b8-f4988e96931f,truth,"Who in this group do you trust the most?","Vem i den här gruppen litar du mest på?"
00eaed98-ca52-4dbb-85b8-f4988e96931f,truth,"Who here is most likely to become famous?","Vem här är troligast att bli känd?"
00eaed98-ca52-4dbb-85b8-f4988e96931f,truth,"Who here would survive longest in a zombie apocalypse?","Vem här skulle överleva längst i en zombieapokalyps?"
00eaed98-ca52-4dbb-85b8-f4988e96931f,truth,"Who here is the funniest friend?","Vem här är den roligaste vännen?"
00eaed98-ca52-4dbb-85b8-f4988e96931f,truth,"Who here would be the worst roommate?","Vem här skulle vara den sämsta rumskamraten?"
00eaed98-ca52-4dbb-85b8-f4988e96931f,truth,"Who here would you call first if you were in trouble?","Vem här skulle du ringa först om du var i trubbel?"
00eaed98-ca52-4dbb-85b8-f4988e96931f,truth,"Who in this group is most likely to start drama?","Vem i den här gruppen är troligast att starta drama?"
00eaed98-ca52-4dbb-85b8-f4988e96931f,truth,"Who here is the most chaotic?","Vem här är mest kaotisk?"
00eaed98-ca52-4dbb-85b8-f4988e96931f,truth,"Which friend knows you the best?","Vilken vän känner dig bäst?"
00eaed98-ca52-4dbb-85b8-f4988e96931f,truth,"Who here is most likely to get rich someday?","Vem här är troligast att bli rik någon gång?"
00eaed98-ca52-4dbb-85b8-f4988e96931f,truth,"Who here would forget your birthday?","Vem här skulle glömma din födelsedag?"
00eaed98-ca52-4dbb-85b8-f4988e96931f,truth,"Which friend gives the best advice?","Vilken vän ger bästa råden?"
00eaed98-ca52-4dbb-85b8-f4988e96931f,truth,"Who here is worst at keeping secrets?","Vem här är sämst på att hålla hemligheter?"
00eaed98-ca52-4dbb-85b8-f4988e96931f,truth,"Who here would get arrested for something stupid?","Vem här skulle bli arresterad för något dumt?"
00eaed98-ca52-4dbb-85b8-f4988e96931f,truth,"Who in this group would you travel the world with?","Vem i den här gruppen skulle du resa världen runt med?"
00eaed98-ca52-4dbb-85b8-f4988e96931f,truth,"What is your funniest memory with a friend?","Vad är ditt roligaste minne med en vän?"
00eaed98-ca52-4dbb-85b8-f4988e96931f,truth,"Which friend is the most dramatic?","Vilken vän är mest dramatisk?"
00eaed98-ca52-4dbb-85b8-f4988e96931f,truth,"Who here would survive the longest on a deserted island?","Vem här skulle överleva längst på en öde ö?"
00eaed98-ca52-4dbb-85b8-f4988e96931f,truth,"Who here would you trust with your biggest secret?","Vem här skulle du lita på med din största hemlighet?"
00eaed98-ca52-4dbb-85b8-f4988e96931f,truth,"Who here is most likely to send a message they regret?","Vem här är troligast att skicka ett meddelande de ångrar?"
00eaed98-ca52-4dbb-85b8-f4988e96931f,dare,"Send a random emoji to the last person you texted.","Skicka en slumpmässig emoji till den sista personen du textade."
00eaed98-ca52-4dbb-85b8-f4988e96931f,dare,"Let the group choose a nickname for you until your next turn.","Låt gruppen välja ett smeknamn åt dig tills din nästa tur."
00eaed98-ca52-4dbb-85b8-f4988e96931f,dare,"Text a friend 'I have something important to tell you later.'","Texta en vän 'Jag har något viktigt att berätta senare.'"
00eaed98-ca52-4dbb-85b8-f4988e96931f,dare,"Call a friend and say you miss them.","Ring en vän och säg att du saknar dem."
00eaed98-ca52-4dbb-85b8-f4988e96931f,dare,"Do your best impression of someone in the group.","Gör din bästa imitation av någon i gruppen."
00eaed98-ca52-4dbb-85b8-f4988e96931f,dare,"Dance for 10 seconds with no music.","Dansa i 10 sekunder utan musik."
00eaed98-ca52-4dbb-85b8-f4988e96931f,dare,"Give the person to your left a compliment.","Ge personen till vänster om dig en komplimang."
00eaed98-ca52-4dbb-85b8-f4988e96931f,dare,"Let someone else choose your next profile picture.","Låt någon annan välja din nästa profilbild."
00eaed98-ca52-4dbb-85b8-f4988e96931f,dare,"Speak in an accent until your next turn.","Tala med accent tills din nästa tur."
00eaed98-ca52-4dbb-85b8-f4988e96931f,dare,"Send a meme to the group chat without explanation.","Skicka en meme till gruppchaten utan förklaring."
00eaed98-ca52-4dbb-85b8-f4988e96931f,dare,"Act like the group's therapist for 20 seconds.","Uppträd som gruppens terapeut i 20 sekunder."
00eaed98-ca52-4dbb-85b8-f4988e96931f,dare,"High-five everyone in the room dramatically.","High-five alla i rummet dramatiskt."
00eaed98-ca52-4dbb-85b8-f4988e96931f,dare,"Say something nice about every person in the room.","Säg något trevligt om varje person i rummet."
00eaed98-ca52-4dbb-85b8-f4988e96931f,dare,"Text your best friend 'Guess what just happened?'","Texta din bästa vän 'Gissa vad som just hände?'"
00eaed98-ca52-4dbb-85b8-f4988e96931f,dare,"Pretend to be a motivational speaker for 15 seconds.","Låtsas vara en motivationsföreläsare i 15 sekunder."
00eaed98-ca52-4dbb-85b8-f4988e96931f,dare,"Let the group pick an emoji you must use in every sentence for one round.","Låt gruppen välja en emoji du måste använda i varje mening i en runda."
00eaed98-ca52-4dbb-85b8-f4988e96931f,dare,"Tell your most embarrassing school story.","Berätta din mest pinsamma skolhistoria."
00eaed98-ca52-4dbb-85b8-f4988e96931f,dare,"Send a voice message saying 'I forgot what I was going to say.'","Skicka ett röstmeddelande som säger 'Jag glömde vad jag skulle säga.'"
00eaed98-ca52-4dbb-85b8-f4988e96931f,dare,"Try to make everyone laugh in 10 seconds.","Försök få alla att skratta på 10 sekunder."
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,truth,"Have you ever had a situationship that lasted way too long?","Har du någonsin haft en situationship som varade alldeles för länge?"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,truth,"What is the most confusing situationship you have ever been in?","Vad är den mest förvirrande situationship du någonsin varit i?"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,truth,"Have you ever caught feelings in a situationship?","Har du någonsin fått känslor i en situationship?"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,truth,"Have you ever ghosted someone you were talking to?","Har du någonsin ghostat någon du pratade med?"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,truth,"Have you ever been ghosted by someone you liked?","Har du någonsin blivit ghostad av någon du gillade?"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,truth,"What is the biggest red flag you ignored in a situationship?","Vad är den största röda flaggan du ignorerade i en situationship?"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,truth,"Have you ever stalked someone's social media after a situationship ended?","Har du någonsin stalkat någons sociala medier efter att en situationship tog slut?"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,truth,"What is the worst mixed signal someone has given you?","Vad är det värsta blandade signalerna någon har gett dig?"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,truth,"Have you ever had feelings for someone who only wanted something casual?","Har du någonsin haft känslor för någon som bara ville ha något avslappnat?"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,truth,"What is the longest situationship you have had?","Vad är den längsta situationship du har haft?"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,truth,"Have you ever been in two situationships at the same time?","Har du någonsin varit i två situationships samtidigt?"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,truth,"Have you ever pretended not to care about someone you actually liked?","Har du någonsin låtsats inte bry dig om någon du faktiskt gillade?"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,truth,"What is the most toxic situationship you have experienced?","Vad är den mest toxiska situationship du har upplevt?"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,truth,"Have you ever gone back to the same situationship more than once?","Har du någonsin gått tillbaka till samma situationship mer än en gång?"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,truth,"What is the clearest sign someone only wants a situationship?","Vad är det tydligaste tecknet på att någon bara vill ha en situationship?"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,truth,"Have you ever stayed in a situationship hoping it would become a relationship?","Har du någonsin stannat kvar i en situationship i hopp om att det skulle bli en relation?"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,truth,"Have you ever sent a risky text to someone you were talking to?","Har du någonsin skickat en riskabel text till någon du pratade med?"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,truth,"What is the most confusing text you have received from someone you liked?","Vad är det mest förvirrande meddelandet du fått från någon du gillade?"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,truth,"Have you ever liked someone your friend was also talking to?","Har du någonsin gillat någon som din vän också pratade med?"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,truth,"Would you ever date someone you had a messy situationship with?","Skulle du någonsin dejta någon du hade en rörig situationship med?"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,dare,"Send a random emoji to someone you used to talk to.","Skicka en slumpmässig emoji till någon du brukade prata med."
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,dare,"Text someone 'I had a dream about you last night.'","Texta någon 'Jag drömde om dig i natt.'"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,dare,"Let the group choose someone you must send a meme to.","Låt gruppen välja någon du måste skicka en meme till."
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,dare,"Scroll through your messages and read the last flirty text you sent.","Bläddra igenom dina meddelanden och läs det sista flörtiga meddelandet du skickade."
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,dare,"Send a 'hey stranger' text to someone you haven't spoken to in months.","Skicka ett 'hej främling'-meddelande till någon du inte pratat med på månader."
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,dare,"Show the group the last person you stalked on social media.","Visa gruppen den sista personen du stalkade på sociala medier."
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,dare,"Send the 😏 emoji to the 5th person in your chat list.","Skicka 😏-emojin till den 5:e personen i din chattlista."
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,dare,"Let someone in the group send a text from your phone.","Låt någon i gruppen skicka ett meddelande från din telefon."
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,dare,"Call someone you used to talk to and say 'I just thought of you.'","Ring någon du brukade prata med och säg 'Jag tänkte just på dig.'"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,dare,"Send a voice message saying 'I miss our chaotic era.'","Skicka ett röstmeddelande som säger 'Jag saknar vår kaotiska era.'"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,dare,"React with ❤️ to someone's old message.","Reagera med ❤️ på någons gamla meddelande."
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,dare,"Text someone 'Be honest… did you ever like me?'","Texta någon 'Var ärlig… gillade du mig någonsin?'"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,dare,"Let the group choose an emoji you must send to someone.","Låt gruppen välja en emoji du måste skicka till någon."
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,dare,"Send a message saying 'You were a dangerous era.'","Skicka ett meddelande som säger 'Du var en farlig era.'"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,dare,"Text someone 'Random question… what are you doing right now?'","Texta någon 'Slumpmässig fråga… vad gör du just nu?'"
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,dare,"Send a random selfie to someone you used to flirt with.","Skicka en slumpmässig selfie till någon du brukade flörta med."
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,dare,"Send a 'thinking of you' message to someone.","Skicka ett 'tänker på dig'-meddelande till någon."
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,dare,"Let the group choose a risky text you must send.","Låt gruppen välja en riskabel text du måste skicka."
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,dare,"Send 'You crossed my mind today' to someone.","Skicka 'Du dök upp i mina tankar idag' till någon."
192e1dfc-6f19-4c09-8a63-f04c1f66a94c,dare,"Let the group scroll your chat list for 5 seconds.","Låt gruppen bläddra i din chattlista i 5 sekunder."
34f170e4-f67b-49c5-a8d1-56b282aee1a6,truth,"Who here would survive the longest in a zombie apocalypse?","Vem här skulle överleva längst i en zombieapokalyps?"
34f170e4-f67b-49c5-a8d1-56b282aee1a6,truth,"Who here is most likely to become famous?","Vem här är troligast att bli känd?"
34f170e4-f67b-49c5-a8d1-56b282aee1a6,truth,"What is the dumbest thing you have done with your friends?","Vad är det dummaste du har gjort med dina vänner?"
